,taskName,iconId,
,a sleepy,Bed,
,sleep last night,Bed,
,getting to sleep in on a saturday,Bed,
,will sleep in Michigan,Bed,
,where I will sleep,Bed,
,sleep good again,Bed,
,sleep over,Bed,
,falling asleep and snored,Bed,
,fall asleep and snore,Bed,
,fall asleep,Bed,
,able to sleep,Bed,
,favourite dish,Dish,
,baked dish for,Dish,
,wash the dishes this morning,Dish,
,wash the dishes,Dish,
,wash dishes,Dish,
,washing the dishes,Dish,
,washing dishes,Dish,
,washed some dishes,Dish,
,wash some dishes,Dish,
,dishes and kitchen,Dish,
,interesting dishes,Dish,
,chinese food dish,Dish,
,food dish,Dish,
,order a second dish,Dish,
,order new dish,Dish,
,have to do the dishes,Dish,
,fish dish,Dish,
,favorite dish at the hot bar,Dish,
,cooked dish,Dish,
,big spread of breakfast for us,Dish,
,pancakes for breakfast,Dish,
,husband made me breakfast,Dish,
,made me breakfast,Dish,
,meke me breakfast,Dish,
,meke he breakfast,Dish,
,meke she breakfast,Dish,
,wonderful group breakfast,Dish,
,making a breakfast,Dish,
,delicious breakfast,Dish,
,woke me up with breakfast,Dish,
,great breakfast,Dish,
,cream cheese for breakfast,Dish,
,make breakfast for my wife,Dish,
,Cooked breakfast with my love,Dish,
,cook breakfast with my love,Dish,
,cook breakfast,Dish,
,dinner,Dish,
,free dinner,Dish,
,I cooked dinner,Dish,
,cook dinner,Dish,
,dinner at a nice restaurant,Dish,
,dinner at a nice cafe,Dish,
,dinner at a nice bar,Dish,
,dinner at restaurant,Dish,
,dinner at cafe,Dish,
,dinner at bar,Dish,
,food for dinner,Dish,
,dinner with my family,Dish,
,dinner with friends,Dish,
,dinner with my girlfriend tonight,Dish,
,dinner with girlfriend,Dish,
,at the dinner table,Dish,
,dinner and a movie,Dish,
,dinner with my sister and brother,Dish,
,family dinner yesterday,Dish,
,cooked dinner for my family,Dish,
,cook dinner for my family,Dish,
,cook dinner for,Dish,
,went to dinner at a new restaurant,Dish,
,lunch,Dish,
,free lunch,Dish,
,I cooked lunch,Dish,
,cook lunch,Dish,
,lunch at a nice restaurant,Dish,
,lunch at a nice cafe,Dish,
,lunch at a nice bar,Dish,
,lunch at restaurant,Dish,
,lunch at cafe,Dish,
,lunch at bar,Dish,
,food for lunch,Dish,
,lunch with my family,Dish,
,lunch with friends,Dish,
,lunch with my girlfriend tonight,Dish,
,lunch with girlfriend,Dish,
,at the lunch table,Dish,
,lunch and a movie,Dish,
,lunch with my sister and brother,Dish,
,family lunch yesterday,Dish,
,cooked lunch for my family,Dish,
,cook lunch for my family,Dish,
,cook lunch for,Dish,
,went to lunch at a new restaurant,Dish,
,start making money,Bagofmoney,
,good amount of money,Bagofmoney,
,lot of money,Bagofmoney,
,money,Bagofmoney,
,cost,Bagofmoney,
,fee,Bagofmoney,
,make money casually,Bagofmoney,
,had more money,Bagofmoney,
,invested some money into,Bagofmoney,
,invest some money into,Bagofmoney,
,invest money in,Bagofmoney,
,won some money,Bagofmoney,
,won money,Bagofmoney,
,saved money on,Bagofmoney,
,save money on,Bagofmoney,
,save money,Bagofmoney,
,need of money,Bagofmoney,
,giving money,Bagofmoney,
,give money,Bagofmoney,
,sum of money,Bagofmoney,
,make money,Bagofmoney,
,gave me the money,Bagofmoney,
,give me the money,Bagofmoney,
,vehicle drive ride car going bus minibus schoolbus,Bus,
,bus tickets,Bus,
,grey hound bus,Bus,
,waiting in a bus stop for bus,Bus,
,bus stop,Bus,
,waiting in a bus stop,Bus,
,stop for bus,Bus,
,waiting for the bus,Bus,
,bus ride,Bus,
,in the bus,Bus,
,when the bus came,Bus,
,take the bus,Bus,
,catch the bus,Bus,
,miss the bus,Bus,
,bus station,Bus,
,ride on the bus today,Bus,
,seat on a bus,Bus,
,wheels on the bus,Bus,
,vehicle,Bus,
,vehicle,Bus,
,flying,Landing,
,fly,Landing,
,fly back,Landing,
,fly a nice long flight,Landing,
,fly flight,Landing,
,able to fly,Landing,
,fly over my home,Landing,
,bird fly over,Landing,
,get tickets to fly,Landing,
,got tickets to fly,Landing,
,tickets to fly,Landing,
,going to fly along,Landing,
,fly really close,Landing,
,how to fly,Landing,
,fly around the house,Landing,
,fly over our city,Landing,
,fly to,Landing,
,fly when,Landing,
,plane,Landing,
,seat on the plane,Landing,
,plane ride,Landing,
,arriving from my destination via plane,Landing,
,plane landed,Landing,
,booked a plane ticket,Landing,
,plane ticket to join,Landing,
,plane ticket to fly,Landing,
,booked her plane,Landing,
,pay for plane,Landing,
,get on the plane,Landing,
,bought a plane ticket,Landing,
,by a plane ticket,Landing,
,purchase a plane ticket,Landing,
,plane trip,Landing,
,pilot the plane,Landing,
,deal on a plane ticket,Landing,
,buy fly ticket,Landing,
,play games videogames console controller joystick,Joystick,
,good weekend and played videogames,Joystick,
,play videogames,Joystick,
,videogames,Joystick,
,play,Joystick,
,went home to play videogames,Joystick,
,videogames on my laptop,Joystick,
,videogames with my beautiful girlfriend,Joystick,
,rest of the day playing videogames,Joystick,
,videogames with my best friend,Joystick,
,play some videogames,Joystick,
,buy videogames,Joystick,
,bought new videogames,Joystick,
,but new videogame,Joystick,
,controller working for my Xbox,Joystick,
,controller for Xbox,Joystick,
,get controller,Joystick,
,put down the controller,Joystick,
,received a better controller,Joystick,
,fix my Xbox controller,Joystick,
,PS4 dualShock controller,Joystick,
,PS4 controller,Joystick,
,dualShock controller,Joystick,
,Wii U controller,Joystick,
,elite controller for xbox,Joystick,
,key,Key,
,keys,Key,
,found some car key,Key,
,found car key,Key,
,car key,Key,
,forget my keys after walking out,Key,
,forget my keys,Key,
,forget keys,Key,
,receive the keys,Key,
,find car keys,Key,
,lost keys were picked,Key,
,sea,Sea,
,sea lions swimming,Sea,
,seals and sea,Sea,
,restaurant at the sea to have fried fish,Sea,
,sea fish,Sea,
,fresh sea scallops,Sea,
,went to sea,Sea,
,favorite sea otter,Sea,
,at a sea,Sea,
,swim in the sea,Sea,
,sea watching the sunset,Sea,
,near sea,Sea,
,the sea animals,Sea,
,sea animals,Sea,
,seeing the sea,Sea,
,caspian sea,Sea,
,in the ocean,Sea,
,see the ocean,Sea,
,swim in the ocean,Sea,
,watch the ocean,Sea,
,day of sun and ocean,Sea,
,sun ocean,Sea,
,indian ocean,Sea,
,ocean city,Sea,
,fresh ocean,Sea,
,boat on the ocean,Sea,
,ocean and water,Sea,
,near the ocean,Sea,
,fish swimming in the ocean,Sea,
,sunset over the ocean,Sea,
,location,Location,
,peak of our location,Location,
,correct location,Location,
,got correct location,Location,
,get correct location,Location,
,get location,Location,
,new location as traveling,Location,
,location traveling,Location,
,present location,Location,
,planned nearest location,Location,
,near location,Location,
,tour of a location,Location,
,foreign location,Location,
,work location,Location,
,new location,Location,
,at a location,Location,
,tropical location,Location,
,one location,Location,
,in a location,Location,
,better location,Location,
,remote location,Location,
,scenic location,Location,
,location closer to my home,Location,
,location to my home,Location,
,closer location,Location,
,safer location,Location,
,managed to get to a location,Location,
,indoor skydive location,Location,
,moving to a different location,Location,
,range location,Location,
,at his location,Location,
,unexpected location,Location,
,cocktail,Cocktail-2,
,new berrys cocktail ice candy,Cocktail-2,
,tasty cocktail,Cocktail-2,
,cocktail event,Cocktail-2,
,cocktail party,Cocktail-2,
,free cocktail after work,Cocktail-2,
,new brand cocktail,Cocktail-2,
,cocktail and chill,Cocktail-2,
,bought me a drink,Cocktail-2,
,by a drink,Cocktail-2,
,get drink,Cocktail-2,
,favorite drink,Cocktail-2,
,tasty drink,Cocktail-2,
,late night drink,Cocktail-2,
,paid for my drink,Cocktail-2,
,coffe,Coffee,
,morning coffe,Coffee,
,coffe house,Coffee,
,working on coffe,Coffee,
,coffe shop,Coffee,
,coffe with people,Coffee,
,coffe with friends,Coffee,
,made me coffe,Coffee,
,cart,Cart,
,sale in my shop,Cart,
,thrift shop today,Cart,
,specialty shop,Cart,
,inside a shop,Cart,
,his wife shop,Cart,
,shoping,Cart,
,shoping again,Cart,
,buy an item,Cart,
,card to best buy,Cart,
,buy,Cart,
,money to buy me a car,Cart,
,buy me,Cart,
,money to buy,Cart,
,look forward to buy,Cart,
,save enough money to buy,Cart,
,able to buy,Cart,
,buy by amazon,Cart,
,have to buy one,Cart,
,chance to buy,Cart,
,got to buy my kids whatever they want,Cart,
,plan to buy,Cart,
,had to buy,Cart,
,plan to buy one,Cart,
,offered to buy,Cart,
,buy a new truck,Cart,
,able to buy a new,Cart,
,would buy,Cart,
,went to buy,Cart,
,money to buy one,Cart,
,nice enough to buy,Cart,
,was buy,Cart,
,stores to buy,Cart,
,farmer's market,Cart,
,market and picked up,Cart,
,money in the stock market,Cart,
,stock market,Cart,
,meat at a market,Cart,
,went to the market,Cart,
,in the market,Cart,
,market and found,Cart,
,big market,Cart,
,checked the used market too,Cart,
,trip to the super market,Cart,
,The stock market rebound,Cart,
